,experiment_container_id,tld2_name,area,cell_specimen_id,imaging_depth,selectivity_ns,p_sg,p_ns,peak_dff_ns,pref_image_ns,peak_dff_sg,pref_ori_sg,pref_sf_sg,pref_phase_sg
48,511498500,Cux2-CreERT2,VISpm,517395111,275,0.5294237288,0.0839420795,2.34845716523017e-06,4.8927165074,29,3.7965984801,60,0.02,0
49,511498500,Cux2-CreERT2,VISpm,517395117,275,,,,,,,,,
50,511498500,Cux2-CreERT2,VISpm,517395120,275,,,,,,,,,
51,511498500,Cux2-CreERT2,VISpm,517395124,275,,,,,,,,,
52,511498500,Cux2-CreERT2,VISpm,517395128,275,,,,,,,,,
53,511498500,Cux2-CreERT2,VISpm,517395133,275,,,,,,,,,
54,511498500,Cux2-CreERT2,VISpm,517395141,275,0.4263898305,0.3402249171,0.1256666713,8.1878067511,41,3.9624007131,120,0.08,0.75
55,511498500,Cux2-CreERT2,VISpm,517395146,275,0.1231525424,8.064466998159221e-07,1.97406334024131e-09,2.8656470627,41,3.2212868669,120,0.32,0
56,511498500,Cux2-CreERT2,VISpm,517395151,275,0.3627627119,7.20785481176579e-08,1.23014091915148e-12,3.9903696124,2,3.4404681927,90,0.08,0
57,511498500,Cux2-CreERT2,VISpm,517395156,275,0.3771186441,2.95167380673639e-11,4.10064959266952e-12,4.4824542814,83,3.3960508325,60,0.16,0.25
58,511498500,Cux2-CreERT2,VISpm,517395161,275,0.3613559322,0.0006760711,2.453658689973929e-18,35.5335146379,49,12.4828978044,60,0.04,0.75
59,511498500,Cux2-CreERT2,VISpm,517395166,275,0.5940508475,3.7635733936960086e-38,4.78275291139006e-16,7.7935014066,35,7.4384357446,0,0.02,0
60,511498500,Cux2-CreERT2,VISpm,517395171,275,,,,,,,,,
61,511498500,Cux2-CreERT2,VISpm,517395176,275,,,,,,,,,
62,511498500,Cux2-CreERT2,VISpm,517395181,275,0.4615084746,0.073315629,0.155660272,3.7046626135,40,1.0451023649,0,0.08,0.5
63,511498500,Cux2-CreERT2,VISpm,517395186,275,0.3224745763,7.89240774279224e-06,3.14022147253123e-11,3.6294863717,25,1.5261889267,60,0.02,0.25
64,511498500,Cux2-CreERT2,VISpm,517395196,275,0.6618305085,0.0015628883,3.9904886618421597e-20,43.6503853083,114,7.3989740899,0,0.02,0.25
65,511498500,Cux2-CreERT2,VISpm,517395204,275,0.3979491525,0.557221991,0.0126111131,5.7783537164,14,2.6211739396,60,0.08,0.5
66,511498500,Cux2-CreERT2,VISpm,517395208,275,,,,,,,,,
67,511498500,Cux2-CreERT2,VISpm,517395216,275,0.2442033898,0.0146717344,0.0182831709,4.2633779524,103,3.1937782391,60,0.04,0
68,511498500,Cux2-CreERT2,VISpm,517395226,275,,,,,,,,,
69,511498500,Cux2-CreERT2,VISpm,517395230,275,,,,,,,,,
70,511498500,Cux2-CreERT2,VISpm,517395234,275,,,,,,,,,
71,511498500,Cux2-CreERT2,VISpm,517395238,275,,,,,,,,,
72,511498500,Cux2-CreERT2,VISpm,517395244,275,0.2502542373,0.0133288949,0.0004900851,2.6094106439,110,3.5375688405,60,0.04,0
73,511498500,Cux2-CreERT2,VISpm,517395249,275,0.3021186441,0.0502429334,0.0050031822,2.5934466735,41,3.3851791934,60,0.08,0.75
74,511498500,Cux2-CreERT2,VISpm,517395254,275,0.017220339,0.3388433561,0.0007378631,1.4675190857,93,1.6512533055,60,0.08,0
75,511498500,Cux2-CreERT2,VISpm,517395259,275,0.131220339,0.1056085514,0.1609818274,2.1832236003,18,3.2411375898,90,0.32,0.5
76,511498500,Cux2-CreERT2,VISpm,517395264,275,0.4765932203,0.0109909676,0.0241474253,3.3834804293,27,1.0365982658,0,0.04,0.5
77,511498500,Cux2-CreERT2,VISpm,517395269,275,0.3445423729,0.0028220253,0.0597435115,2.3890951647,35,5.8745832734,120,0.08,0
78,511498500,Cux2-CreERT2,VISpm,517395274,275,,,,,,,,,
79,511498500,Cux2-CreERT2,VISpm,517395279,275,,,,,,,,,
80,511498500,Cux2-CreERT2,VISpm,517395286,275,0.3413050847,0.06370371,0.310710059,3.3590617007,99,5.0479286614,150,0.32,0.25
81,511498500,Cux2-CreERT2,VISpm,517395291,275,0.4440508475,4.2954589237644796e-08,1.1148745534933601e-20,4.8616339304,30,1.8640401114,60,0.02,0.25
82,511498500,Cux2-CreERT2,VISpm,517395296,275,,,,,,,,,
83,511498500,Cux2-CreERT2,VISpm,517395299,275,,,,,,,,,
84,511498500,Cux2-CreERT2,VISpm,517395311,275,,,,,,,,,
85,511498500,Cux2-CreERT2,VISpm,517395317,275,,,,,,,,,
86,511498500,Cux2-CreERT2,VISpm,517395320,275,,,,,,,,,
87,511498500,Cux2-CreERT2,VISpm,517395328,275,,,,,,,,,
88,511498500,Cux2-CreERT2,VISpm,517395337,275,,,,,,,,,
89,511498500,Cux2-CreERT2,VISpm,517395340,275,,,,,,,,,
90,511498500,Cux2-CreERT2,VISpm,517395343,275,0.231559322,1.3111646557451e-08,1.77410155714436e-05,2.9920655131,116,4.2058198551,90,0.02,0.25
91,511498500,Cux2-CreERT2,VISpm,517395347,275,0.307559322,0.0003485736,0.0125574641,4.0118944177,17,4.5296181745,150,0.04,0.5
92,511498500,Cux2-CreERT2,VISpm,517395355,275,0.5831525424,6.33007021803513e-07,1.1990443646683799e-30,80.038950258,2,36.8465290049,0,0.02,0.25
93,511498500,Cux2-CreERT2,VISpm,517395371,275,0.3171525424,0.00726032,0.3454451868,2.0777754741,98,2.6571832903,120,0.02,0
94,511498500,Cux2-CreERT2,VISpm,517395377,275,0.0773728814,0.6477037978,0.0003593336,2.1982597798,108,3.1991928411,150,0.02,0.25
95,511498500,Cux2-CreERT2,VISpm,517395383,275,-0.0411186441,0.6432393686,0.0060140629,1.2166619289,117,1.2062896821,60,0.04,0.5
96,511498500,Cux2-CreERT2,VISpm,517395388,275,0.5206949153,0.0161909114,0.0509901903,2.8955080104,12,1.3964116431,120,0.02,0.5
97,511498500,Cux2-CreERT2,VISpm,517395393,275,0.5381186441,0.0033183637,0.3686410573,5.2969809376,61,5.6076011857,150,0.08,0.25
98,511498500,Cux2-CreERT2,VISpm,517395398,275,0.3101694915,0.0929044722,0.1618349385,6.220279657,115,3.6566172818,120,0.16,0.25
99,511498500,Cux2-CreERT2,VISpm,517395403,275,,,,,,,,,
100,511498500,Cux2-CreERT2,VISpm,517395410,275,0.230440678,0.0066185795,0.1027958842,6.5202198689,49,6.0306295609,30,0.02,0.5
101,511498500,Cux2-CreERT2,VISpm,517395415,275,-0.0318983051,0.1878989037,0.0002180958,1.2244097511,108,1.1968972778,150,0.08,0.25
102,511498500,Cux2-CreERT2,VISpm,517395420,275,0.2719830508,0.1310786139,0.0674185246,6.2257146582,78,3.4095040701,60,0.08,0
103,511498500,Cux2-CreERT2,VISpm,517395425,275,0.2536101695,0.2627234053,0.0211023359,2.5266456911,115,2.5861940186,30,0.16,0.25
104,511498500,Cux2-CreERT2,VISpm,517395430,275,0.565,2.15953063273102e-07,3.124885826313129e-17,4.3959952055,94,1.6151233897,120,0.04,0.75
105,511498500,Cux2-CreERT2,VISpm,517395435,275,0.3858474576,0.2004330879,0.0008692051,4.0580489052,0,1.8608032883,150,0.16,0.5
106,511498500,Cux2-CreERT2,VISpm,517395474,275,0.4322033898,2.01294220474348e-20,3.82787455325501e-06,6.9404103652,12,5.7884953065,0,0.02,0.5
107,511498500,Cux2-CreERT2,VISpm,517395479,275,0.4768983051,0.1017126832,0.4951881888,3.4580748224,21,4.9231396815,30,0.32,0.5
108,511498500,Cux2-CreERT2,VISpm,517395486,275,0.578220339,1.5726845533282693e-21,2.20609728576192e-16,14.3039318883,60,13.4858475482,0,0.02,0.5
109,511498500,Cux2-CreERT2,VISpm,517395491,275,0.4543728814,0.0004476802,2.87760190604442e-07,5.7809052118,102,2.1298044834,30,0.32,0.5
110,511498500,Cux2-CreERT2,VISpm,517395500,275,0.6619152542,6.47758450997479e-45,5.43827336781314e-31,17.8962042484,72,15.3195936986,0,0.02,0.5
111,511498500,Cux2-CreERT2,VISpm,517395505,275,0.4051186441,0.1441744803,0.3967732036,8.4854382959,18,6.7432112372,150,0.04,0
112,511498500,Cux2-CreERT2,VISpm,517395510,275,,,,,,,,,
113,511498500,Cux2-CreERT2,VISpm,517395515,275,0.7577966102,0.0008523825,2.1912004259241475e-144,47.0211252791,5,2.9350581122,30,0.02,0.75
114,511498500,Cux2-CreERT2,VISpm,517395520,275,,,,,,,,,
115,511498500,Cux2-CreERT2,VISpm,517395525,275,0.3781186441,1.04244638158942e-34,0.0182736998,19.4719000611,75,60.8402400039,150,0.04,0.5
116,511498500,Cux2-CreERT2,VISpm,517395530,275,0.4660847458,9.92693583730511e-05,2.93882817669714e-05,4.0572221722,81,3.9834902079,90,0.02,0.5
117,511498500,Cux2-CreERT2,VISpm,517395542,275,,,,,,,,,
118,511498500,Cux2-CreERT2,VISpm,517395545,275,,,,,,,,,
119,511498500,Cux2-CreERT2,VISpm,517395550,275,-0.0489491525,0.1165780487,3.4583929741431396e-07,1.2818078632,70,1.1581418312,0,0.16,0
120,511498500,Cux2-CreERT2,VISpm,517395555,275,,,,,,,,,
121,511498500,Cux2-CreERT2,VISpm,517395569,275,0.2702711864,0.3509180922,0.0160948446,3.9952953032,28,3.2408383734,120,0.02,0.25
122,511498500,Cux2-CreERT2,VISpm,517395584,275,-0.0389661017,0.0063791394,2.42015386622368e-06,1.3423445101,102,2.7912747169,150,0.02,0.25
123,511498500,Cux2-CreERT2,VISpm,517395589,275,0.7022372881,0.000995569,1.2685954749430789e-89,12.7838223308,5,0.9714566493,120,0.02,0.5
124,511498500,Cux2-CreERT2,VISpm,517395594,275,,,,,,,,,
125,511498500,Cux2-CreERT2,VISpm,517395605,275,0.2718474576,0.110562105,4.14909575481579e-10,2.0350313608,42,1.5781832602,60,0.04,0.25
126,511498500,Cux2-CreERT2,VISpm,517395610,275,0.2117118644,0.7345347207,0.0635798331,3.4186434618,14,2.440939288,150,0.04,0
127,511498500,Cux2-CreERT2,VISpm,517395618,275,,,,,,,,,
128,511498500,Cux2-CreERT2,VISpm,517395624,275,0.2768305085,5.77943407290004e-08,4.3311360016029705e-09,1.7883966881,19,3.3282539883,30,0.02,0.75
129,511498500,Cux2-CreERT2,VISpm,517395629,275,0.2472881356,6.20832179755939e-24,0.0025206202,3.2280471945,115,13.6331393353,30,0.02,0.75
